person_id,crash_id,road_user,gender,age,age_group,load_ts
2064,20223071,Motorcycle rider,Male,36,26_to_39,2025-05-06T08:22:34
2065,20221013,Pedal cyclist,Male,57,40_to_64,2025-05-06T08:22:34
2066,20221086,Passenger,Male,100,75_or_older,2025-05-06T08:22:34
2067,20223099,Motorcycle rider,Male,68,65_to_74,2025-05-06T08:22:34
2068,20223158,Motorcycle rider,Male,58,40_to_64,2025-05-06T08:22:34
2069,20221189,Motorcycle rider,Male,63,40_to_64,2025-05-06T08:22:34
2070,20223078,Driver,Female,85,75_or_older,2025-05-06T08:22:34
2071,20226034,Motorcycle rider,Male,16,0_to_16,2025-05-06T08:22:34
2072,20221103,Driver,Female,55,40_to_64,2025-05-06T08:22:34
2073,20222004,Passenger,Female,23,17_to_25,2025-05-06T08:22:34
2074,20224054,Driver,Male,83,75_or_older,2025-05-06T08:22:34
2075,20223150,Pedestrian,Female,30,26_to_39,2025-05-06T08:22:34
2076,20221181,Motorcycle rider,Male,22,17_to_25,2025-05-06T08:22:34
2077,20221215,Passenger,Male,27,26_to_39,2025-05-06T08:22:34
2078,20223113,Pedestrian,Female,72,65_to_74,2025-05-06T08:22:34
2079,20223018,Motorcycle rider,Male,41,40_to_64,2025-05-06T08:22:34
2080,20223223,Driver,Female,84,75_or_older,2025-05-06T08:22:34
2081,20221040,Motorcycle rider,Male,20,17_to_25,2025-05-06T08:22:34
2082,20222023,Driver,Female,63,40_to_64,2025-05-06T08:22:34
2083,20221042,Driver,Female,38,26_to_39,2025-05-06T08:22:34
2084,20223010,Pedestrian,Male,8,0_to_16,2025-05-06T08:22:34
2085,20223012,Driver,Male,17,17_to_25,2025-05-06T08:22:34
2086,20222220,Driver,Female,60,40_to_64,2025-05-06T08:22:34
2087,20221031,Passenger,Male,18,17_to_25,2025-05-06T08:22:34
2088,20222015,Pedestrian,Female,4,0_to_16,2025-05-06T08:22:34
2089,20223028,Pedestrian,Male,41,40_to_64,2025-05-06T08:22:34
2090,20222196,Driver,Male,27,26_to_39,2025-05-06T08:22:34
2091,20221081,Pedal cyclist,Male,31,26_to_39,2025-05-06T08:22:34
2092,20221188,Pedal cyclist,Male,72,65_to_74,2025-05-06T08:22:34
2093,20221173,Driver,Female,85,75_or_older,2025-05-06T08:22:34
2094,20221131,Driver,Female,45,40_to_64,2025-05-06T08:22:34
2095,20222159,Driver,Male,31,26_to_39,2025-05-06T08:22:34
2096,20223052,Driver,Male,27,26_to_39,2025-05-06T08:22:34
2097,20223052,Passenger,Female,27,26_to_39,2025-05-06T08:22:34
2098,20223138,Pedal cyclist,Male,69,65_to_74,2025-05-06T08:22:34
2099,20222031,Driver,Female,45,40_to_64,2025-05-06T08:22:34
2100,20223064,Pedal cyclist,Male,11,0_to_16,2025-05-06T08:22:34
2101,20222121,Motorcycle rider,Male,59,40_to_64,2025-05-06T08:22:34
2102,20227002,Passenger,Male,21,17_to_25,2025-05-06T08:22:34
2103,20223198,Driver,Male,17,17_to_25,2025-05-06T08:22:34
2104,20223101,Passenger,Male,27,26_to_39,2025-05-06T08:22:34
2105,20223101,Driver,Female,23,17_to_25,2025-05-06T08:22:34
2106,20221110,Motorcycle rider,Male,54,40_to_64,2025-05-06T08:22:34
2107,20222177,Driver,Male,50,40_to_64,2025-05-06T08:22:34
2108,20221116,Driver,Male,28,26_to_39,2025-05-06T08:22:34
2109,20226041,Driver,Male,65,65_to_74,2025-05-06T08:22:34
2110,20221161,Pedestrian,Female,48,40_to_64,2025-05-06T08:22:34
2111,20224037,Driver,Female,86,75_or_older,2025-05-06T08:22:34
2112,20222036,Driver,Female,56,40_to_64,2025-05-06T08:22:34
2113,20221011,Driver,Male,63,40_to_64,2025-05-06T08:22:34
2114,20223065,Passenger,Male,50,40_to_64,2025-05-06T08:22:34
2115,20221205,Driver,Female,23,17_to_25,2025-05-06T08:22:34
2116,20224025,Passenger,Female,26,26_to_39,2025-05-06T08:22:34
2117,20223029,Pedal cyclist,Male,51,40_to_64,2025-05-06T08:22:34
2118,20223220,Driver,Male,28,26_to_39,2025-05-06T08:22:34
2119,20222051,Driver,Male,21,17_to_25,2025-05-06T08:22:34
2120,20221074,Driver,Male,89,75_or_older,2025-05-06T08:22:34
2121,20223131,Passenger,Male,22,17_to_25,2025-05-06T08:22:34
2122,20222157,Pedestrian,Male,57,40_to_64,2025-05-06T08:22:34
2123,20226044,Passenger,Male,19,17_to_25,2025-05-06T08:22:34
2124,20226044,Driver,Male,19,17_to_25,2025-05-06T08:22:34
2125,20227017,Passenger,Male,31,26_to_39,2025-05-06T08:22:34
2126,20223248,Driver,Male,23,17_to_25,2025-05-06T08:22:34
2127,20223044,Driver,Female,48,40_to_64,2025-05-06T08:22:34
2128,20227040,Pedestrian,Female,72,65_to_74,2025-05-06T08:22:34
2129,20222163,Driver,Male,76,75_or_older,2025-05-06T08:22:34
2130,20222217,Motorcycle rider,Male,28,26_to_39,2025-05-06T08:22:34
2131,20223024,Motorcycle rider,Male,25,17_to_25,2025-05-06T08:22:34
2132,20221175,Driver,Male,18,17_to_25,2025-05-06T08:22:34
